"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2022-02-08",171.729996,175.350006,171.429993,174.830002,74829200,173.777313
"2022-02-09",176.050003,176.649994,174.899994,176.279999,71285000,175.218582
"2022-02-10",174.139999,175.479996,171.550003,172.119995,90865900,171.083603
"2022-02-11",172.330002,173.080002,168.039993,168.639999,98670700,167.624573
"2022-02-14",167.369995,169.580002,166.559998,168.880005,86185500,167.863159
"2022-02-15",170.970001,172.949997,170.25,172.789993,62527400,171.749588
"2022-02-16",171.850006,173.339996,170.050003,172.550003,61177400,171.511047
"2022-02-17",171.029999,171.910004,168.470001,168.880005,69589300,167.863159
"2022-02-18",169.820007,170.539993,166.190002,167.300003,82772700,166.292664
"2022-02-22",164.979996,166.690002,162.149994,164.320007,91162800,163.330612
"2022-02-23",165.539993,166.149994,159.75,160.070007,90009200,159.106186
"2022-02-24",152.580002,162.850006,152,162.740005,141147500,161.760117
"2022-02-25",163.839996,165.119995,160.869995,164.850006,91974200,163.857407
"2022-02-28",163.059998,165.419998,162.429993,165.119995,95056600,164.125763
"2022-03-01",164.699997,166.600006,161.970001,163.199997,83474400,162.217331
"2022-03-02",164.389999,167.360001,162.949997,166.559998,79724800,165.557114
"2022-03-03",168.470001,168.910004,165.550003,166.229996,76678400,165.229095
"2022-03-04",164.490005,165.550003,162.100006,163.169998,83737200,162.187515
"2022-03-07",163.360001,165.020004,159.039993,159.300003,96418800,158.34082
"2022-03-08",158.820007,162.880005,155.800003,157.440002,131148300,156.492004
"2022-03-09",161.479996,163.410004,159.410004,162.949997,91454900,161.968842
"2022-03-10",160.199997,160.389999,155.979996,158.520004,105342000,157.565506
"2022-03-11",158.929993,159.279999,154.5,154.729996,96970100,153.79834
"2022-03-14",151.449997,154.119995,150.100006,150.619995,108732100,149.713074
"2022-03-15",150.899994,155.570007,150.380005,155.089996,92964300,154.156158
"2022-03-16",157.050003,160,154.460007,159.589996,102300200,158.629059
"2022-03-17",158.610001,161,157.630005,160.619995,75615400,159.652863
"2022-03-18",160.509995,164.479996,159.759995,163.979996,123511700,162.992645
"2022-03-21",163.509995,166.350006,163.009995,165.380005,95811400,164.384216
"2022-03-22",165.509995,169.419998,164.910004,168.820007,81532000,167.803497
"2022-03-23",167.990005,172.639999,167.649994,170.210007,98062700,169.18512
"2022-03-24",171.059998,174.139999,170.210007,174.070007,90131400,173.021896
"2022-03-25",173.880005,175.279999,172.75,174.720001,80546200,173.667984
"2022-03-28",172.169998,175.729996,172,175.600006,90371900,174.542679
"2022-03-29",176.690002,179.009995,176.339996,178.960007,100589400,177.882446
"2022-03-30",178.550003,179.610001,176.699997,177.770004,92633200,176.699615
"2022-03-31",177.839996,178.029999,174.399994,174.610001,103049300,173.55864
"2022-04-01",174.029999,174.880005,171.940002,174.309998,78751300,173.260437
"2022-04-04",174.570007,178.490005,174.440002,178.440002,76468400,177.365585
"2022-04-05",177.5,178.300003,174.419998,175.059998,73401800,174.005936
"2022-04-06",172.360001,173.630005,170.130005,171.830002,89058800,170.795364
"2022-04-07",171.160004,173.360001,169.850006,172.139999,77594700,171.103485
"2022-04-08",171.779999,171.779999,169.199997,170.089996,76575500,169.065842
"2022-04-11",168.710007,169.029999,165.5,165.75,72246700,164.751984
"2022-04-12",168.020004,169.869995,166.639999,167.660004,79265200,166.650482
"2022-04-13",167.389999,171.039993,166.770004,170.399994,70618900,169.373978
"2022-04-14",170.619995,171.270004,165.039993,165.289993,75329400,164.294754
"2022-04-18",163.919998,166.600006,163.570007,165.070007,69023900,164.07608
"2022-04-19",165.020004,167.820007,163.910004,167.399994,67723800,166.392044
"2022-04-20",168.759995,168.880005,166.100006,167.229996,67929800,166.223053
"2022-04-21",168.910004,171.529999,165.910004,166.419998,87227800,165.417938
"2022-04-22",166.460007,167.869995,161.5,161.789993,84882400,160.815826
"2022-04-25",161.119995,163.169998,158.460007,162.880005,96046400,161.899277
"2022-04-26",162.25,162.339996,156.720001,156.800003,95623200,155.855881
"2022-04-27",155.910004,159.789993,155.380005,156.570007,88063200,155.627274
"2022-04-28",159.25,164.520004,158.929993,163.639999,130216800,162.654678
"2022-04-29",161.839996,166.199997,157.25,157.649994,131747600,156.700745
"2022-05-02",156.710007,158.229996,153.270004,157.960007,123055300,157.008896
"2022-05-03",158.149994,160.710007,156.320007,159.479996,88966500,158.519714
"2022-05-04",159.669998,166.479996,159.259995,166.020004,108256500,165.020355
