"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2022-01-03",245.059998,247.470001,241.429993,244.009995,1397000,239.452042
"2022-01-04",243.179993,247.039993,243.179993,245.149994,2124400,240.57074
"2022-01-05",244.580002,246.490005,242.830002,243.059998,2181200,238.519775
"2022-01-06",242.460007,244.690002,240.630005,241.389999,1946500,236.880966
"2022-01-07",240.779999,241.240005,238.729996,238.839996,1462000,234.378601
"2022-01-10",236.339996,237.919998,231.929993,232.889999,1929300,228.539749
"2022-01-11",233.660004,235.419998,230.100006,235.279999,1293000,230.885086
"2022-01-12",235.130005,236.130005,233.210007,234.630005,1202500,230.247253
"2022-01-13",234.860001,236.050003,231.309998,231.929993,1110600,227.597672
"2022-01-14",229.940002,231.339996,226.929993,228.75,1562900,224.477081
"2022-01-18",226,227.820007,222.759995,226.440002,1939500,222.210236
"2022-01-19",227.639999,229.449997,224.729996,224.830002,1613900,220.63031
"2022-01-20",226.600006,228.380005,219.729996,220.309998,2051800,216.194733
"2022-01-21",220.570007,221.729996,216.830002,217.130005,2164400,213.074142
"2022-01-24",215.880005,219.369995,211.029999,218.240005,2981600,214.163406
"2022-01-25",213.089996,218.690002,212.740005,216.880005,2487300,212.828812
"2022-01-26",205.490005,208.270004,196.539993,197.460007,5686900,193.771561
"2022-01-27",198.25,200.580002,194.559998,196.419998,3526600,192.750992
"2022-01-28",196.940002,199.289993,192.690002,199.270004,2261800,195.54776
"2022-01-31",199.339996,207.360001,198.089996,206.169998,3113300,202.318863
"2022-02-01",206.479996,207.259995,202.580002,205.559998,2122700,201.720261
"2022-02-02",205.559998,208.320007,205.220001,207.899994,2149900,204.016541
"2022-02-03",204.330002,207.649994,203.860001,205.130005,1938000,201.298309
"2022-02-04",203.889999,207.330002,201.229996,206.25,2016400,202.397385
"2022-02-07",206.889999,207.979996,205.240005,205.979996,1581900,202.132401
"2022-02-08",204.710007,208.899994,204,208.410004,1503800,204.517029
"2022-02-09",210.470001,211.389999,209.270004,211.160004,2078700,207.215668
"2022-02-10",207.25,208.309998,204.179993,205.539993,2270600,201.700638
"2022-02-11",206.399994,207.399994,203.690002,203.789993,2678700,199.983322
"2022-02-14",204.380005,204.699997,199.690002,201.979996,1899600,198.207108
"2022-02-15",204.479996,204.809998,202.550003,204.020004,1412000,200.20903
"2022-02-16",203.410004,205.229996,201.339996,204.240005,1833900,200.424911
"2022-02-17",202.910004,203.729996,199.990005,200.460007,1600700,196.71553
"2022-02-18",200.050003,202.080002,199.199997,200.449997,2744400,196.705719
"2022-02-22",200.449997,202.449997,198.449997,199.899994,1690200,196.165985
"2022-02-23",200.990005,202.080002,195.880005,196.289993,1646700,192.623413
"2022-02-24",193.5,200.710007,192.259995,200.220001,1965400,196.480011
"2022-02-25",201.029999,204.539993,199.820007,204.360001,1336400,200.542679
"2022-02-28",203.429993,204.869995,201.190002,204.440002,2234600,200.62117
"2022-03-01",203.539993,204.550003,201.149994,202.309998,1503200,198.53096
"2022-03-02",202.949997,207.330002,202.220001,206.289993,1674600,202.436615
"2022-03-03",208.860001,209.610001,203.970001,204.699997,2192200,200.876328
"2022-03-04",203.570007,208.610001,202.619995,208.460007,1492300,204.566101
"2022-03-07",207.720001,211.800003,206.470001,208.389999,2535500,204.497406
"2022-03-08",207.839996,213.059998,204.940002,205.380005,2326300,201.543625
"2022-03-09",210.330002,211.139999,206.070007,209.699997,1791600,205.782944
"2022-03-10",206.509995,210.119995,205.009995,209.429993,2399300,206.542297
"2022-03-11",210.630005,212.350006,206.699997,207.270004,1664800,204.412109
"2022-03-14",207.570007,209.720001,206.210007,207,2064100,204.145813
"2022-03-15",210,212.880005,208.619995,212.309998,2220200,209.382599
