price,bedrooms,bathrooms,rooms,sqft_living,floors
313000,3,1.5,4.5,1340,1.5
2384000,5,2.5,7.5,3650,2
342000,3,2,5,1930,1
420000,3,2.25,5.25,2000,1
550000,4,2.5,6.5,1940,1
490000,2,1,3,880,1
335000,2,2,4,1350,1
482000,4,2.5,6.5,2710,2
452500,3,2.5,5.5,2430,1
640000,4,2,6,1520,1.5
463000,3,1.75,4.75,1710,1
1400000,4,2.5,6.5,2920,1.5
588500,3,1.75,4.75,2330,1
365000,3,1,4,1090,1
1200000,5,2.75,7.75,2910,1.5
242500,3,1.5,4.5,1200,1
419000,3,1.5,4.5,1570,1
367500,4,3,7,3110,2
257950,3,1.75,4.75,1370,1
275000,3,1.5,4.5,1180,1
750000,3,1.75,4.75,2240,2
435000,4,1,5,1450,1
626000,3,2.25,5.25,1750,2.5
612500,4,2.5,6.5,2730,2
495000,4,1.75,5.75,1600,1
285000,3,2.5,5.5,2090,1
615000,3,1.75,4.75,2360,1
698000,4,2.25,6.25,2200,1.5
675000,5,2.5,7.5,2820,2
790000,3,2.5,5.5,2600,1
382500,4,1.75,5.75,1560,1
499950,4,2.5,6.5,2860,2
650000,4,2,6,1820,1.5
625000,4,2.5,6.5,2820,2
400000,4,2.5,6.5,3630,1.5
604000,3,2.5,5.5,3240,2
440000,2,1,3,800,1
287200,3,3,6,1850,1
403000,3,2,5,1960,1
750000,3,2.5,5.5,2390,1
335000,3,2.25,5.25,1580,1
260000,4,2,6,1480,1
308500,2,1,3,850,1
439950,3,2.5,5.5,1770,2
235000,2,1,3,1210,1
315000,3,1,4,1160,1
437500,3,2.25,5.25,1970,2
407500,3,2.5,5.5,1930,2
445700,3,2.5,5.5,1270,3
838000,4,2.5,6.5,3310,2
630000,4,2.75,6.75,2710,2
550000,3,1.75,4.75,2910,1.5
805000,3,2,5,2710,1.5
284000,3,1.75,4.75,1800,1
470000,5,2.5,7.5,2210,1
430000,4,1.5,5.5,1920,1
491500,4,1.75,5.75,2190,1
785000,5,3.25,8.25,3660,2
385000,3,3.25,6.25,1320,2
295000,2,2.5,4.5,1630,2
555000,4,2.5,6.5,3310,2
459990,3,2.5,5.5,2680,2
625000,4,3.25,7.25,2730,1
300000,3,2.5,5.5,2540,2
625000,4,2.75,6.75,2920,2
553000,2,1,3,900,1
379880,3,2.5,5.5,1650,1
310000,3,1,4,1010,1
775000,2,2.5,4.5,2680,1
365000,3,2.5,5.5,2200,1
331950,4,2.5,6.5,2530,2
783500,3,2.5,5.5,2850,2
628000,4,2,6,2280,1
560000,3,2.5,5.5,1900,2
900000,3,1,4,1330,1
531000,2,3,5,1270,2
831000,4,3,7,2170,2
780000,4,2.5,6.5,2730,2
755000,4,2.5,6.5,2120,1
705380,3,2.5,5.5,2490,2
627000,4,2.25,6.25,1990,1
865000,4,3,7,3690,2
580000,2,1,3,2540,1
410000,3,2.25,5.25,1800,1
485000,4,3,7,2340,1
400000,2,1.75,3.75,2110,1
549000,2,1,3,1140,1
620000,3,1.75,4.75,1480,2.5
405000,2,3,5,1410,2
232000,2,1,3,1200,1
800866,5,2.5,7.5,3180,2
650000,3,1.5,4.5,2160,1
823000,6,1.75,7.75,2920,2.5
770000,3,2,5,2350,1.5
524000,3,1.75,4.75,1560,1
541125,5,2.75,7.75,2740,1
670000,3,2.5,5.5,1680,3
384900,5,2.5,7.5,3090,1
406100,3,2.25,5.25,1410,3
1395000,5,3.5,8.5,4010,2
736500,4,2.5,6.5,3180,2
570000,3,2.25,5.25,2010,1
787000,3,1.75,4.75,1330,1
328000,4,2.5,6.5,2370,2
435000,5,2,7,1840,1
499000,4,2.5,6.5,2910,2
501000,4,1,5,2070,1
1090000,4,2.5,6.5,4340,2.5
400000,2,1,3,840,1
220000,4,1.5,5.5,1240,1
657100,4,1,5,1390,1
309950,4,2.75,6.75,2310,2
300000,3,2,5,1050,1
525888,5,1.75,6.75,2550,1
740000,4,1.75,5.75,2010,1.5
340000,5,1,6,1120,1.5
398750,3,2.5,5.5,2230,2
206000,2,1,3,810,1
1030000,5,2.75,7.75,3190,1
600000,3,1.75,4.75,1670,1
379950,4,1.75,5.75,1970,1
287000,3,1,4,1450,1
2280000,7,8,15,13540,3
309950,3,2.5,5.5,1880,2
600000,3,1.75,4.75,1880,1
418000,3,2,5,1410,1.5
449250,4,2,6,1480,1.5
329950,2,1,3,1140,1.5
245000,3,1.75,4.75,1920,1
549000,4,2.5,6.5,2910,2
800000,3,2.5,5.5,3240,2
249950,3,2,5,1550,1
210000,5,2,7,2050,1
1425000,2,2.5,4.5,2220,2
585000,2,1,3,1770,1.5
615000,4,1.75,5.75,2300,1
618500,3,2,5,1800,1
487585,4,1.75,5.75,2010,1
509900,3,2.5,5.5,1790,2
631625,4,2.5,6.5,2440,2
555000,3,2.5,5.5,1940,2
340000,2,1.5,3.5,1160,2
830000,4,2.5,6.5,3400,2
890000,4,4.25,8.25,4420,2
366750,3,3,6,1571,3
415000,3,2.25,5.25,1620,2.5
416286,3,2.5,5.5,1408,3
478000,3,2.5,5.5,3040,2
890000,5,3.5,8.5,4490,2
419190,2,2.5,4.5,1590,2
712198,4,2.5,6.5,2450,2
397000,4,2,6,1440,1
450000,2,2,4,1100,1.5
353000,3,1,4,1350,1
609000,4,2.5,6.5,2150,2
234000,3,1.75,4.75,1490,1
561000,3,2,5,2000,2
469000,2,1,3,1030,1
329350,2,1,3,720,1
488000,5,2,7,2020,1.5
279900,3,1.75,4.75,1580,1
606000,4,2.5,6.5,2110,2
312000,4,2,6,1300,1
650000,3,1.5,4.5,1630,1
1135000,4,2.75,6.75,3370,1
325000,4,2.5,6.5,1890,1
425000,4,2,6,1520,1
219000,2,1,3,900,1
250000,3,1,4,1050,1
390000,3,1.75,4.75,1260,1
475000,6,3,9,3470,1.5
736000,4,2.5,6.5,2290,2
407000,4,2.25,6.25,2810,1
272000,3,2.5,5.5,1650,2
362000,3,2.25,5.25,1640,1
535000,3,2.5,5.5,1850,2
284000,4,2.5,6.5,2000,2
367500,3,1.5,4.5,1410,1
379900,4,1.75,5.75,1500,1
520000,3,2.5,5.5,2460,2
175000,3,1,4,1010,1
460000,2,2.25,4.25,1230,2
345000,4,2.5,6.5,2331,2
455000,5,2.5,7.5,2240,1
610000,4,3,7,2450,1
563000,4,3,7,3100,2
612500,4,2,6,2060,1
218000,3,1.75,4.75,1850,1
404000,4,1.75,5.75,1840,1
860000,4,2,6,3740,2
136500,3,1.5,4.5,1420,1
313950,3,1,4,1510,1
575000,3,1.75,4.75,2130,1
1225000,4,2.25,6.25,3490,2
280000,3,1.75,4.75,1630,1
515000,3,2.5,5.5,1790,2
513000,4,2.5,6.5,2000,2
599000,4,2.25,6.25,2260,2
685000,4,2.5,6.5,3030,2
365000,3,1.5,4.5,1310,1
762300,4,2.5,6.5,3880,2
1580000,4,3.25,7.25,3760,1.5
562000,5,2.25,7.25,3040,2
530000,5,2.5,7.5,2910,1
525000,3,2.5,5.5,2970,1
484000,2,1.75,3.75,1660,1
725126,4,2.5,6.5,3200,2
360000,4,2,6,2680,1
387000,3,1,4,1230,1
483500,4,2.5,6.5,2740,2
655500,4,3.5,7.5,3380,2
345000,3,1,4,1110,1
533000,5,2.75,7.75,1800,1.5
385000,3,1.75,4.75,1900,1
675000,2,1,3,930,1
197000,3,1.75,4.75,1690,1
485000,3,2,5,1420,1.5
1870000,5,4,9,4510,2
295000,3,2.25,5.25,1980,1
499000,2,1.75,3.75,1170,1
1050000,3,2.5,5.5,2200,2
191000,3,1.5,4.5,800,1
500000,3,2.5,5.5,1480,3
390000,5,3.75,8.75,2890,1
979000,3,2.5,5.5,2690,3
580000,4,3.25,7.25,3569,2
369950,3,2,5,1270,3
1800000,5,5,10,4490,2
776000,4,2.5,6.5,3040,2
519950,3,2.25,5.25,1170,3
255000,5,2.25,7.25,2060,1
495000,3,1,4,990,1
510000,4,2.5,6.5,2430,2
1150000,4,4,8,4460,2
253000,3,1.75,4.75,1250,1
503000,3,2.75,5.75,1540,1
275000,3,2.5,5.5,1600,2
249000,3,1,4,1110,1
310000,3,1.75,4.75,1840,1
750000,3,2.75,5.75,2520,1
630000,3,2.5,5.5,2680,2
599999,9,4.5,13.5,3830,2.5
758000,4,2.75,6.75,2410,1
248500,4,1.75,5.75,1720,1
310000,3,1.75,4.75,2070,1
460000,3,2,5,1760,2
675000,3,1.75,4.75,1680,1
526000,2,2,4,1550,1.5
560000,3,3,6,4120,2
415000,4,3,7,1830,2
246000,3,1,4,1400,1
314500,3,1.75,4.75,1870,1
3200000,7,4.5,11.5,6210,2.5
420000,2,1.5,3.5,1040,1.5
535000,3,1.75,4.75,2720,1.5
350000,3,1,4,1010,1
515000,3,1.75,4.75,1580,1
749950,4,2.75,6.75,2600,2
230000,3,2.5,5.5,1920,2
568000,3,2,5,2350,1.5
250000,1,1,2,1100,1
581000,4,2,6,2510,1
651000,3,2.5,5.5,3240,2
600000,3,2.5,5.5,2460,1
500000,2,1,3,1010,1.5
475000,2,1,3,820,1
352000,5,2.5,7.5,2420,1
420000,3,2.25,5.25,1770,2
428000,2,2,4,1350,1
599000,3,1.75,4.75,1960,1
492000,4,2.5,6.5,3305,1.5
630000,2,2.25,4.25,2550,1
900000,5,3.75,8.75,4130,2
1110000,4,1.5,5.5,2310,1
575000,4,2,6,1650,1
705000,4,2.5,6.5,2650,1.5
940000,4,2.25,6.25,1890,1
313000,3,1.75,4.75,2190,1
618080,3,2.5,5.5,2030,2
640000,3,3,6,2270,2
485000,3,2,5,1610,1
300000,2,1,3,760,1
379500,2,1,3,1640,1
339950,3,2.25,5.25,1630,2
1500000,6,2.5,8.5,3560,2.5
1340000,3,3,6,2960,2
500000,3,2.5,5.5,1940,1
239900,3,2,5,1410,1
314950,3,1,4,1040,1
361280,2,1,3,820,1
100000,2,1,3,910,1
540000,7,5.75,12.75,3700,2
480500,4,2.5,6.5,2180,1
280000,3,2.5,5.5,1600,2
440000,3,1.75,4.75,1500,1
530000,3,1,4,1340,1
560000,3,2,5,1860,1
775000,3,2,5,2540,1.5
160000,2,1,3,1040,1
209950,3,1.5,4.5,1380,1
226500,3,1.75,4.75,1640,1
380000,5,1.75,6.75,3000,1
409500,4,2.75,6.75,2140,1
690000,3,2,5,1760,1
405000,3,2.25,5.25,1660,1
375000,3,2.5,5.5,1830,2
794154,4,2,6,2210,1
185000,4,1,5,1490,1
245000,3,1.5,4.5,1260,2
1532500,5,4.5,9.5,4270,2
1040000,4,3.5,7.5,3900,2
425000,2,2.5,4.5,1150,3
495000,4,2.75,6.75,2656,2
365000,5,2.75,7.75,2410,1
417250,3,2.25,5.25,1606,3
339950,2,1,3,820,3
615000,2,1,3,1540,1
403000,3,2.75,5.75,2090,2
980000,5,2.5,7.5,3160,1
258000,4,1.75,5.75,1730,1
533000,3,1,4,1670,1
537500,4,2.5,6.5,2550,2
830000,5,3,8,3040,1
712000,3,1,4,1250,1.5
262000,4,2.5,6.5,2020,2
753888,4,2.5,6.5,2660,2
134000,2,1.5,3.5,980,2
402000,3,2.5,5.5,1960,1
205000,2,1,3,720,1
553650,2,2.5,4.5,1360,2
559950,2,2,4,1870,1
260000,4,1.5,5.5,2130,1
270000,4,2.5,6.5,1810,2
295000,2,1.75,3.75,2200,1
719000,3,2.5,5.5,1690,1.5
266000,3,2.5,5.5,1940,1
325900,4,2.5,6.5,2320,2
647500,4,1.75,5.75,2060,1
1039000,4,1,5,3410,2
569000,4,2.25,6.25,2250,2
246000,3,1.75,4.75,1390,1
515000,2,1,3,1060,1
207000,3,1,4,1490,1
780000,4,1.75,5.75,2480,1
489990,5,2.25,7.25,2440,1.5
335000,3,1.5,4.5,2240,1.5
295000,3,2.5,5.5,1920,2
385000,3,1.75,4.75,1890,1
350000,4,1.75,5.75,2250,1
235000,2,1,3,1270,1
358000,2,1.5,3.5,960,2
716500,4,2.5,6.5,3290,2
228000,4,1.75,5.75,2000,1
405000,2,1,3,1020,1
538000,4,1.75,5.75,1840,1
530000,3,1.75,4.75,1980,1
1750000,6,3,9,3510,2.5
636000,2,1.75,3.75,1230,1.5
535000,4,2.5,6.5,2280,2
1500000,3,1.75,4.75,2430,1
868500,3,2.5,5.5,2920,3
530000,4,2.75,6.75,2280,1.5
450000,3,2,5,1510,1
230000,3,1.75,4.75,950,1
229000,3,2.5,5.5,1190,2
437000,3,1.75,4.75,1310,1
1307000,5,3.25,8.25,2800,1.5
595000,3,2.5,5.5,1750,2
660000,3,1.75,4.75,1320,1.5
347500,4,2.5,6.5,2460,2
297950,3,2,5,1240,1
245000,3,1.5,4.5,1260,1
543200,6,2.25,8.25,2820,1.5
1250000,4,3.25,7.25,3820,2
413450,3,2.5,5.5,1540,3
330000,2,2,4,1550,1.5
424500,3,1.75,4.75,1460,1
230000,3,1,4,1390,1
